Cód. Artículo;Descripción;Desc. Adicional;Sinónimo;Código de Barras;Precio;Lista de precios;Fecha de última modificación;Art. carpeta nivel 1
30487;ESTACA SOLAR X4 1W CALIDO ;3000K CON 1 PANEL;ELSX4-4W-IP65-W;7428325575707;72.381,0000;LISTA 1;31/1/2024;MACROLED
30494;CONTROLAD RADIOFREC RGB+W 288W;;CON-RGBW-288W;7428325576445;20.962,0000;LISTA 1;31/1/2024;MACROLED
30495;TECLA SMART BCA 1 CANAL;;TSX1B;7428325576100;20.014,0000;LISTA 1;31/1/2024;MACROLED
30496;TECLA SMART NGRA 1 CANAL;;TSX1N;7428325576117;20.014,0000;LISTA 1;31/1/2024;MACROLED
30497;TECLA SMART BCA 3 CANALES;;TSX3B;7428325576148;23.304,0000;LISTA 1;31/1/2024;MACROLED
30498;TECLA SMART NGRA 3 CANALES;;TSX3N;7428325576155;23.304,0000;LISTA 1;31/1/2024;MACROLED
30503;ENCHUFE SMART 10A;;ESX1-2073;7428325576162;13.509,0000;LISTA 1;31/1/2024;MACROLED
30504;SWITCH SMART 150W*2 5A*2;;SSX2-WIFI;7428325576179;11.825,0000;LISTA 1;31/1/2024;MACROLED
30590;LISTON LED 5W 460MM LUZ FRIA;;T5-30-5W-CW;7428325571464;6.570,0000;LISTA 1;31/1/2024;MACROLED
30637;FAROLA ALTA POT 100W IP65;337X380MM;FPL-100W-CW;;149.125,0000;LISTA 1;31/1/2024;MACROLED
30638;APLIQUE TUBO LED DOBLE 60CM;ESTANCO;LET-2-60;7428325568563;9.471,0000;LISTA 1;31/1/2024;MACROLED
30639;LAMP. BULBO A60 12W FRIO;;BT-60-12CW;7428325568372;958,0000;LISTA 1;31/1/2024;MACROLED
30672;REFLECTOR LED PRO 400W CALIDO ;3000K;FLSV2-400WW;;225.969,0000;LISTA 1;31/1/2024;MACROLED
30673;VELADOR 5W DIEMER.CARGA INALAM;BLANCO/MADERA;MERCURIO;7428325577367;63.879,0000;LISTA 1;31/1/2024;MACROLED
30675;VELADOR 5W DIEMER.CARGA INALAM;RELOJ BLANCO;VULCANO;7428325577381;87.609,0000;LISTA 1;31/1/2024;MACROLED
30676;VELADOR 5W DIEMER.CARGA USB;NEGRO;PLUTON NEGRO;7428325577398;39.180,0000;LISTA 1;31/1/2024;MACROLED
30678;VELADOR 7W DIEMER.CARGA USB;NEGRO;NEPTUNO;7428325577787;53.560,0000;LISTA 1;31/1/2024;MACROLED
30747;REFLECTOR SMART 20W RGB+W;;SMA-FLSV2-20RGB;7428325576261;47.067,0000;LISTA 1;31/1/2024;MACROLED
30748;REFLECTOR SMART 50W RGB+W;;SMA-FLSV2-50RGB;7428325576278;76.319,0000;LISTA 1;31/1/2024;MACROLED
30749;CONTROLADOR SMART 144W ;C/WIFI;CON-WIFI-IR-144;7428325576452;13.130,0000;LISTA 1;31/1/2024;MACROLED
30839;PANEL PLAFON CIRC N 6W FRIO;BLACK SERIES;NPR06CW;7428325569560;4.171,0000;LISTA 1;31/1/2024;MACROLED
30840;PANEL PLAFON CIRC N 12W FRIO;BLACK SERIES;NPR12CW;7428325569621;6.101,0000;LISTA 1;31/1/2024;MACROLED
30841;PANEL PLAFON CIRC N 18W FRIO;BLACK SERIES;NPR18CW;7428325569683;7.630,0000;LISTA 1;31/1/2024;MACROLED
30953;APLIQUE TUBO LED SIMPLE 60CM;ESTANCO;LET-1-60;7428325568556;7.931,0000;LISTA 1;31/1/2024;MACROLED
31188;VELADOR 5W DIEMER.CARGA USB;BLANCO;PLUTON BLANCO;7428325577404;39.180,0000;LISTA 1;31/1/2024;MACROLED
31197;BATERIA LITIO 3.7V 2200mA;;BL-3.7-2.2;;5.298,0000;LISTA 1;31/1/2024;MACROLED
31228;LAMP. BULBO A55 7W CALIDA;;BT-55-7WW;;736,0000;LISTA 1;31/1/2024;MACROLED
31229;LAMP. BULBO A60 10W CALIDO;;BT-60-10WW;;825,0000;LISTA 1;31/1/2024;MACROLED
31230;LAMP. BULBO A60 12W NEUTRO;;BT-60-12NW;;958,0000;LISTA 1;31/1/2024;MACROLED
31231;LAMP. BULBO A60 15W NEUTRO;;BT-60-15NW;7428325568396;1.081,0000;LISTA 1;31/1/2024;MACROLED
31232;TUBO LED VIDRIO 18W FRIO;;TL-T8120CW;;1.862,0000;LISTA 1;31/1/2024;MACROLED
31233;LAMP. BULBO A55 7W NEUTRA;;BT-55-7NW;;736,0000;LISTA 1;31/1/2024;MACROLED
31234;LAMP. BULBO A60 10W NEUTRA;;BT-60-10NW;;825,0000;LISTA 1;31/1/2024;MACROLED
31235;LAMP. BULBO A60 12W CALIDA;;BT-60-12WW;;958,0000;LISTA 1;31/1/2024;MACROLED
31236;LAMP. BULBO A60 15W CALIDO;;BT-60-15WW;;1.081,0000;LISTA 1;31/1/2024;MACROLED
31243;PANEL PRO 48W 60X60 FRIO;;P48-605-PMMA-CW;P48-605-PMMA-4800LM-CW;45.862,0000;LISTA 1;31/1/2024;MACROLED
31250;KIT V BULBO 7W MACROLED x100;Neutra/Calida/Fría;;;129.133,0000;LISTA 1;31/1/2024;MACROLED
31251;KIT V BULBO 10W MACROLED x100;Neutra/Calida/Fría;;;135.235,0000;LISTA 1;31/1/2024;MACROLED
31252;KIT V BULBO 12W MACROLED x100;Neutra/Calida/Fría;;;167.934,0000;LISTA 1;31/1/2024;MACROLED
31253;KIT V BULBO 15W MACROLED x100;Neutra/Calida/Fría;;;198.413,0000;LISTA 1;31/1/2024;MACROLED
31254;KIT TUBO 18W MACROLED x25;FRIO;;;84.341,0000;LISTA 1;31/1/2024;MACROLED
31265;EMBUTIDO PARA DICRO ANTIDESLUM;PCBLANCO/NEGRO;AERAD-X1-BN-PC;;1.472,0000;LISTA 1;31/1/2024;MACROLED
31273;FAROLA ALTA POT 140W IP65;337X380MM;FPL-140W-CW;;159.232,0000;LISTA 1;31/1/2024;MACROLED
31279;KIT V BULBO 7W MACROLED x20;Neutra/Calida/Fría;;;26.953,0000;LISTA 1;31/1/2024;MACROLED
31280;KIT V BULBO 10W MACROLED x20;Neutra/Calida/Fría;;;28.225,0000;LISTA 1;31/1/2024;MACROLED
31281;KIT V BULBO 12W MACROLED x20;Neutra/Calida/Fría;;;35.052,0000;LISTA 1;31/1/2024;MACROLED
31282;KIT V BULBO 14W MACROLED x20;Neutra/Calida/Fría;;;41.412,0000;LISTA 1;31/1/2024;MACROLED
31381;LAMP. DECO VELA 4W E14 CALIDA;;BFC37-4WW;;1.549,0000;LISTA 1;31/1/2024;MACROLED
31382;REFLECTOR LED PRO 400W PRO;6500K;FLSV2-400CW;;225.969,0000;LISTA 1;31/1/2024;MACROLED
31391;PANEL EMBUT CUADR 24W NEUTRO;4500K;PEC24NW;;11.479,0000;LISTA 1;31/1/2024;MACROLED
31413;PANEL PLAFON CUADR 12W CALIDO;PLATIL SERIES;PPC12WW;;9.359,0000;LISTA 1;31/1/2024;MACROLED
31470;TIRA LED 5050 CALIDO IP20;60 LEDxM;WW-B300-FW24-20;;17.804,0000;LISTA 1;31/1/2024;MACROLED
31472;TIRA LED 5050 FRIO IP20 24V;60 LEDxM;CW-B300-FW24-20;;17.804,0000;LISTA 1;31/1/2024;MACROLED
31473;LAMP. BIPIN G4 2W 220V CALIDO;2700K;G4-OP-220-2.5-W;;1.404,0000;LISTA 1;31/1/2024;MACROLED
31474;LAMP. BIPIN G4 2W 220V FRIA;2700K;G4-OP-220-2.5-C;;1.404,0000;LISTA 1;31/1/2024;MACROLED
31481;LAMP. DECO GOTA 4W E/14 CALID;2700K;BFG45-E14-4WW;;1.572,0000;LISTA 1;31/1/2024;MACROLED
31505;ARTEFACTO EXT.SOLAR 6W 3000K;C/SENSOR DE MOV;SSLL-6W-N-WW;7428325578333;29.151,0000;LISTA 1;31/1/2024;MACROLED
31506;LUZ DE CALLE SOLAR C/SENSOR;40W 6000K;SSSL-40W-CW;;202.485,0000;LISTA 1;31/1/2024;MACROLED
31522;EMBUTIDO PARA DICRO CUADR ;NIQUEL MATE;AED-X1-MN;;3.290,0000;LISTA 1;31/1/2024;MACROLED
31551;EMBUTIDO PARA DICRO CUADR ;;AECD-X1-B-PC;;2.231,0000;LISTA 1;31/1/2024;MACROLED
31566;SENSOR DE MOV TECHO 6M DE ALC;1200W;SMTB-360-6M;;21.753,0000;LISTA 1;31/1/2024;MACROLED
31567;SENSOR DE MOV TECHO 8M DE ALC;2000W;SMTB-360-8M;;24.387,0000;LISTA 1;31/1/2024;MACROLED
31598;PANEL PLAFON CIRC 24W NEUTRO;4500K;PR24NW;;10.754,0000;LISTA 1;31/1/2024;MACROLED
31599;PANEL PLAFON CUADR 24W NEUTRO;;PC24NW;;12.138,0000;LISTA 1;31/1/2024;MACROLED
31600;PANEL EMBUT CIRC 12W NEUTRO;4500K;PER12NW;;4.841,0000;LISTA 1;31/1/2024;MACROLED
31624;PANEL EMBUTIR CIRC N 18W 6000K;BLACK SERIES;NPER18CW;;7.106,0000;LISTA 1;31/1/2024;MACROLED
31625;PANEL EMBUTIR CIRC N 18W 4500K;BLACK SERIES;NPER18NW;;7.106,0000;LISTA 1;31/1/2024;MACROLED
31626;PANEL EMBUTIR CIRC N 18W 3000K;BLACK SERIES;NPER18WW;;7.106,0000;LISTA 1;31/1/2024;MACROLED
31627;PANEL EMBUTIR CIRC N 24W 6000K;BLACK SERIES;NPER24CW;;11.825,0000;LISTA 1;31/1/2024;MACROLED
31628;PANEL EMBUTIR CIRC N 24W 4500K;BLACK SERIES;NPER24NW;;11.825,0000;LISTA 1;31/1/2024;MACROLED
31629;PANEL EMBUTIR CIRC N 24W 3000K;BLACK SERIES;NPER24WW;;11.825,0000;LISTA 1;31/1/2024;MACROLED
31630;PANEL EMBUTIR CUAD N 18W 6000K;BLACK SERIES;NPEC18CW;;7.898,0000;LISTA 1;31/1/2024;MACROLED
31631;PANEL EMBUTIR CUAD N 18W 4500K;BLACK SERIES;NPEC18NW;;7.898,0000;LISTA 1;31/1/2024;MACROLED
31632;PANEL EMBUTIR CUAD N 18W 3000K;BLACK SERIES;NPEC18WW;;7.898,0000;LISTA 1;31/1/2024;MACROLED
31633;PANEL EMBUTIR CUAD N 24W 6000K;BLACK SERIES;NPEC24CW;;12.706,0000;LISTA 1;31/1/2024;MACROLED
31634;PANEL EMBUTIR CUAD N 24W 3000K;BLACK SERIES;NPEC24WW;;12.706,0000;LISTA 1;31/1/2024;MACROLED
31680;LAMPARA AR111 10W GU-10;2700K;AR111-FC-10W-24;;8.980,0000;LISTA 1;31/1/2024;MACROLED
31684;LAMPARA AR111 10W GU-10;4000K;AR111-FC-10W-NW;;8.980,0000;LISTA 1;31/1/2024;MACROLED
31685;ARTEFACTO PLAFON CUA. DICRO;PC BLANCO;APCDL-X1-B-PC;;6.269,0000;LISTA 1;31/1/2024;MACROLED
31686;ARTEFACTO PLAFON CUAD. DICRO;PC NEGRO;APCDL-X1-N-PC;;6.269,0000;LISTA 1;31/1/2024;MACROLED
31687;ARTEFACTO PLAFON CIRC. DICRO;PC BLANCO;APRDL-X1-B-PC;;6.269,0000;LISTA 1;31/1/2024;MACROLED
31688;ARTEFACTO PLAFON CIRC. DICRO;PC NEGRO;APRDL-X1-N-PC;;6.269,0000;LISTA 1;31/1/2024;MACROLED
31689;TIRA LED 5050 AMBAR IP20;60 LEDxM;AW-B300-FW12-20;;17.804,0000;LISTA 1;31/1/2024;MACROLED
31690;ESTACA DE ALUMINIO PARA SOPORT;REPUESTO;EA-145MM;74283255760256;1.014,0000;LISTA 1;31/1/2024;MACROLED
31691;VELADOR 4W DIEMER.CARGA INALAM;NEGRO;SATURNO NEGRO;7428325577411;59.886,0000;LISTA 1;31/1/2024;MACROLED
31692;LAMP. PIE 11W DIEMER.MEM.ULTIM;NEGRO;MARTE NEGRO;7428325577800;55.903,0000;LISTA 1;31/1/2024;MACROLED
31693;CARTEL DE SALIDA DE EMERGENCIA;DERECHA;CSL-EME-DER;7428325574991;16.900,0000;LISTA 1;31/1/2024;MACROLED
31694;CARTEL DE SALIDA DE EMERGENCIA;IZQUIERDA;CSL-EME-IZQ;7428325574984;16.900,0000;LISTA 1;31/1/2024;MACROLED
31714;PANEL EMBUTIR CUAD N 24W 4500K;BLACK SERIES;NPEC24NW;;12.706,0000;LISTA 1;31/1/2024;MACROLED
31824;PANEL PLAFON CIR 6W CALIDO;PLATIL SERIES;PPR06WW;;5.611,0000;LISTA 1;31/1/2024;MACROLED
31825;PANEL PLAFON CIR 12W CALIDO;PLATIL SERIES;PPR12WW;;8.478,0000;LISTA 1;31/1/2024;MACROLED
31826;PANEL PLAFON CIR 18W CALIDO;PLATIL SERIES;PPR18WW;;11.021,0000;LISTA 1;31/1/2024;MACROLED
31827;PANEL PLAFON CIR 24W CALIDO;PLATIL SERIES;PPR24WW;;16.834,0000;LISTA 1;31/1/2024;MACROLED
31828;REFLECTOR LED PRO 100W CALIDO;3000K;FLSV2-100WW;;53.594,0000;LISTA 1;31/1/2024;MACROLED
31829;GUIRNALDA LARGA 10MTS ;20 CONECTORES;GUIRC-10MT-E27;;49.510,0000;LISTA 1;31/1/2024;MACROLED
17932;"EXTRACTOR 4"" EB100/1 BLANCO";;EB100/1;;33.547,0000;LISTA 1;31/1/2024;MA-DE-VA
18869;"EXTRAC 6"" EBL150/1 BCO ECOSOFT";;EBL150/1;;50.898,0000;LISTA 1;31/1/2024;MA-DE-VA
20969;EXTRACTOR E18/1 GRIS 15CM;;E18/1;;141.356,0000;LISTA 1;31/1/2024;MA-DE-VA
21125;EXTRACTOR E18/2 GRIS 30CM;;E18/2;;157.565,0000;LISTA 1;31/1/2024;MA-DE-VA
21126;"TURBO ASPIRADOR E17/1 4"" Y 6""";;E17/1/2;;165.860,0000;LISTA 1;31/1/2024;MA-DE-VA
21970;EXTRACTOR P/COCIN E20/1 BCO;;E20/1;;150.780,0000;LISTA 1;31/1/2024;MA-DE-VA
22761;EXTRACTOR P/COCIN E18/3 CROMO;;E18/3;;158.313,0000;LISTA 1;31/1/2024;MA-DE-VA
23515;"EXTRACTOR DE BAñO PERIMET 6""";;EBP150/1;;74.641,0000;LISTA 1;31/1/2024;MA-DE-VA
24510;"EXTRACTOR PARRILLERO 8"" GRIS";;P08/1;;128.100,0000;LISTA 1;31/1/2024;MA-DE-VA
24680;"EXTRACTOR PARRILLERO 10"" GRIS";;P10/1;;167.475,0000;LISTA 1;31/1/2024;MA-DE-VA
25754;"EXTRACTOR 4"" EB100/2 CROMO";;EB100/2;EB100/2;37.327,0000;LISTA 1;31/1/2024;MA-DE-VA
25755;EXTRACTOR PARA COCINA ;;E18/4;E18/4;175.283,0000;LISTA 1;31/1/2024;MA-DE-VA
30548;"EXTRACTOR DE BAñO PERIMET 4"" ";;EBP100/1;EBP100/1;37.695,0000;LISTA 1;31/1/2024;MA-DE-VA
27209;COLGANTE ZOE 10 LARGO 1.72 ;;OM66146-10;;476.610,0000;LISTA 1;15/8/2023;MAGNALUM
27210;COLGANTE ZOE 5 LARGO 0.88 ;;0M66146-5;;276.307,0000;LISTA 1;15/8/2023;MAGNALUM
27430;APLIQUE ZERO LED;;9041-280;;88.593,0000;LISTA 1;15/8/2023;MAGNALUM
29415;COLGANT MAGIC 48 LED 190W 0.65;;MD507-48;;513.146,0000;LISTA 1;15/8/2023;MAGNALUM
29717;COLGANTE LUNA DE 53CM 90W;;600-92-53CM;;365.445,0000;LISTA 1;15/8/2023;MAGNALUM
29718;COLGANTE LUNA 45CM 70W;;600-92-45CM;;292.358,0000;LISTA 1;15/8/2023;MAGNALUM
29875;COLGANTE ZOE X 3 LED;;OM66146-3B;;228.110,0000;LISTA 1;15/8/2023;MAGNALUM
17543;CABLE VAINA CHATA 3X2.5MM;;;;308,0000;LISTA 1;25/4/2023;MAGNOLUZ
19949;COLGANTE 1 LUZ BLANCO PLATIL ;;1961 OL/C1;;21.141,0000;LISTA 1;25/4/2023;MARKAS
19950;COLGANTE 1 LUZ BCO PLATIL ;BCO LINEAS NEGRO;1961R/C1;;20.554,0000;LISTA 1;25/4/2023;MARKAS
19951;COLGANTE 10X25 BLANCO ;;1910/C1;;17.617,0000;LISTA 1;25/4/2023;MARKAS
20114;COLGANTE CUADR 10X23 ;;M45-1B;;26.363,0000;LISTA 1;14/12/2023;MARKAS
20188;COLGANTE 1/2 ESF. CROMADA 30CM;;M49-1B;;28.225,0000;LISTA 1;25/4/2023;MARKAS
20189;COLGANTE 1 LUZ AL C/VIDRIO;;F39-;;17.617,0000;LISTA 1;25/4/2023;MARKAS
20191;ART.EMB CROMO B20W TULIPA CUAD;;6600P;;9.983,0000;LISTA 1;25/4/2023;MARKAS
20193;VELADOR NIQUEL 1 LUZ P-COLOR;;V35-CN;;26.789,0000;LISTA 1;14/12/2023;MARKAS
20194;COLGANTE 1XE/27 ALUM  34CM;;4005G;;7.634,0000;LISTA 1;25/4/2023;MARKAS
20196;APLIQUE 2L BASE 12X30 G9;;G52-2A;;13.577,0000;LISTA 1;25/4/2023;MARKAS
20364;COLGANTE 1LUZ REGULABLE PANT ;;1999/C1B;;74.017,0000;LISTA 1;12/1/2024;MARKAS
20454;SPOT 1 LUZ G9 PLATIL CURVO ;TULIPA SAT.;G48-1A;;15.017,0000;LISTA 1;14/12/2023;MARKAS
20455;SPOT 1 LUZ G9 BASE CROMO TUL.; TRANSP.;G47-1A;;6.342,0000;LISTA 1;25/4/2023;MARKAS
20456;SPOT 2 LUCES G9 BASE CROMO ;TUL. TRANSP.;G47-2A;;13.566,0000;LISTA 1;25/4/2023;MARKAS
20463;APLIQUE 1 LUZ E-27 CROMO ;TULIPA OPAL;F21-1A;;11.158,0000;LISTA 1;25/4/2023;MARKAS
20471;SPOT 1 LUZ G9 BASE COMBINADA ;P+C TUL.SAT.;G46-1A;;7.046,0000;LISTA 1;25/4/2023;MARKAS
20480;COLGANTE DE 1 LUZ BOCHA CROM.; E-27 MEDIANA 14CM;1871/C1C;;17.027,0000;LISTA 1;12/1/2024;MARKAS
20738;BASE 2 L C/CROMO C/FRENTE;;3002CC;;9.405,0000;LISTA 1;12/1/2024;MARKAS
20740;ARAÑA 3 L CROMO PANT BCA ;;F40-3B;;49.743,0000;LISTA 1;25/4/2023;MARKAS
20741;ARAÑA 5 L CROMO PANTLLA BCA ;;F40-5B;;75.995,0000;LISTA 1;25/4/2023;MARKAS
20754;APLIQUE 1 LUZ  BOCHA CROMADA ;CHICA B50W;1870/1P;;18.945,0000;LISTA 1;12/1/2024;MARKAS
21181;COLGANTE CIL 12X27 SAT.TRANS;;M42-1B;;26.913,0000;LISTA 1;14/12/2023;MARKAS
21183;PLAFON 1 LUZ G9  TULIPA CUADR;;G54-1A;;23.092,0000;LISTA 1;14/12/2023;MARKAS
21759;COLGANTE DE 1 LUZ BOCHA ;CROMADA E-27 E/27;1872/C1C;;34.233,0000;LISTA 1;12/1/2024;MARKAS
21760;COLGANTE DE 1 LUZ BOCHA NGO ;E-27 23CM;1872/C1N;;29.491,0000;LISTA 1;12/1/2024;MARKAS
21764;SPOT 1 LUZ G9 BASE CROMO ;TUL.SAT.;G50-1A;;6.340,0000;LISTA 1;25/4/2023;MARKAS
21765;COLGANTE 1 LUZ E-27 NGO;;M71-1BN;;29.507,0000;LISTA 1;25/4/2023;MARKAS
21766;APLIQUE 2 LUCES G9 PLATIL ;TUL.SAT. C/TTEJ.;G56-2A;;13.567,0000;LISTA 1;25/4/2023;MARKAS
21976;COLGANTE OPAL 1XE/27 30CM;;M33-1B;;9.983,0000;LISTA 1;25/4/2023;MARKAS
21978;COLGANTE OPAL CONICO 1 LUZ ;E/27;M30-1B;;11.158,0000;LISTA 1;25/4/2023;MARKAS
21980;VELADOR DE ACRILICO C/PANT ;;P74/1T;;43.413,0000;LISTA 1;12/1/2024;MARKAS
22219;LAMPARA DE ESCRITORIO E/27 ;COLORES VARIOS;;;5.787,0000;LISTA 1;25/4/2023;MARKAS
22419;APLIQUE 2 LUCES E/27 CROMO ;BASE 12X30;F51-2A;;25.007,0000;LISTA 1;14/12/2023;MARKAS
22754;SPOT 2 LUCES G9 CROMO ;TULIPA OPAL;G50-2A;;12.766,0000;LISTA 1;25/4/2023;MARKAS
22755;SPOT 3 LUCES G9 CROMO TULIPA ;OPAL SATINADA;G50-3A;;19.576,0000;LISTA 1;25/4/2023;MARKAS
22848;ARAÑA 6 LUCES E/27CROMO ;;F58-6B;;109.348,0000;LISTA 1;25/4/2023;MARKAS
22851;DIFUSOR 1 LUZ PLATIL REC.2 ;VIDRIOS 16X10X8;F20-1P;;7.719,0000;LISTA 1;25/4/2023;MARKAS
22852;DIFUSOR 2 LUCES E/27 PLATIL;DOBLE VIDRIO ;F22-2P;;27.443,0000;LISTA 1;12/1/2024;MARKAS
22853;DIFUSOR CROMO 2XE/27 OVAL ;DOBLE VIDRIO;F22-2A;;11.279,0000;LISTA 1;25/4/2023;MARKAS
22854;LISTON 80CM PLATIL;;3303P;;21.025,0000;LISTA 1;12/1/2024;MARKAS
23166;PLAFON 20X20 1XE/27 PLATIL;;2220P;;7.859,0000;LISTA 1;14/12/2023;MARKAS
23167;PLAFON 20X20 1XE/27 BCO;;2220BT;;6.243,0000;LISTA 1;14/12/2023;MARKAS
23702;COLGANTE 2XE/27 BARRA REGUL.;PANT;1999/C2;;49.196,0000;LISTA 1;25/4/2023;MARKAS
23931;CONJUNTO PARA COLGAR;;PT50TC;;9.429,0000;LISTA 1;12/1/2024;MARKAS
24440;APLIQUE 2XG9 BASE 24X10 CROMO;;G53-2A;;45.802,0000;LISTA 1;14/12/2023;MARKAS
24442;LAMPARA DE ESCRITORIO DE ;LED 8W;V99-L;;49.372,0000;LISTA 1;12/1/2024;MARKAS
24444;LAMPARA DE MESA E/27 NIQUEL ;;V75;;11.558,0000;LISTA 1;25/4/2023;MARKAS
24943;COLGANTE E/27 CROMO CABLE ;TEXTIL;PL80CB;;11.764,0000;LISTA 1;14/12/2023;MARKAS
24944;COLGANTE E/27 COBRE  ;CABLE TEXTIL;PL80UB;;12.190,0000;LISTA 1;14/12/2023;MARKAS
24946;BASE 3  LUCES FRENTE ;PLATIL+CROMO;3210/3CC;;28.745,0000;LISTA 1;12/1/2024;MARKAS
25258;COLGANTE CUADR 2XE/27 3 SAT.;;M45-2B;;64.449,0000;LISTA 1;14/12/2023;MARKAS
25259;DIFUSOR LED 20W BLANCO 4000K;;L0120;;20.722,0000;LISTA 1;25/4/2023;MARKAS
25260;DIFUSOR LED 15W BLANCO 4000K;;L0115;;14.528,0000;LISTA 1;25/4/2023;MARKAS
25261;DIFUSOR LED 16W 59X8X18 BLANCO;;L2316B;;99.111,0000;LISTA 1;14/12/2023;MARKAS
25262;DIFUSOR LED 16W 59X8X18 NEGRO;;L2316N;;99.111,0000;LISTA 1;14/12/2023;MARKAS
25778;ARAÑA 3 LUCES  CROMO PANTLLA ;;F56-3B;;197.850,0000;LISTA 1;14/12/2023;MARKAS
25779;ARAÑA 5 LUCES  CROMO PANTLLA ;;F56-5B;;292.166,0000;LISTA 1;14/12/2023;MARKAS
25862;APLIQUE 1XE27 BASE 12X12CM ;;F51-1A;;11.980,0000;LISTA 1;14/12/2023;MARKAS
25863;COLGANTE 5XE27 BARRA 80CM ;;F52-5B;;102.812,0000;LISTA 1;12/1/2024;MARKAS
25864;ARAÑA 3 LUCES E27 CROMO ;;F57-3B;;61.325,0000;LISTA 1;25/4/2023;MARKAS
25866;COLGANTE 1LUZ PANTALLA 45X20 ;;1998/C1L;;33.204,0000;LISTA 1;14/12/2023;MARKAS
25867;COLGANTE RETRO 20CM AMBAR/FUME;;M46-1B;;63.099,0000;LISTA 1;12/1/2024;MARKAS
25868;COLGANTE RETRO 23CM BD;;M48-1BD;;59.077,0000;LISTA 1;14/12/2023;MARKAS
25869;COLGANTE RETRO VIDRIO FUME ;;M47-1B;;61.141,0000;LISTA 1;12/1/2024;MARKAS
25870;COLGANTE E/27 NGO  ;;PL80NN;;11.337,0000;LISTA 1;14/12/2023;MARKAS
25908;PLAFON 1XE/27 18CM COBRE/PLAT;;2018P;;7.072,0000;LISTA 1;12/1/2024;MARKAS
26251;PLAFON 2XE/27 COBRE 28CM;;2028P;;4.765,0000;LISTA 1;25/4/2023;MARKAS
26260;SPOT LED 10W 4000K X2CABEZALES;;L0510;;16.899,0000;LISTA 1;25/4/2023;MARKAS
26261;SPOT LED 15W 4000K X3CABEZALES;;L0515;;23.900,0000;LISTA 1;25/4/2023;MARKAS
26947;BASE 100X4X3CM 2 LUCES;;3610B;;14.230,0000;LISTA 1;12/1/2024;MARKAS
26948;BASE 100X4X3CM 3  LUCES;;3610C;;18.229,0000;LISTA 1;12/1/2024;MARKAS
26949;LISTON 3 LUCES 80CM;;3303B;;17.711,0000;LISTA 1;12/1/2024;MARKAS
26950;COLGANTE 1XE/27 CAMPANA;;M53/1;;16.112,0000;LISTA 1;25/4/2023;MARKAS
26951;BASE 60X4X3CM 2 LUCES;;3606B;;10.708,0000;LISTA 1;12/1/2024;MARKAS
27245;DIFUSOR LED 12W PLATIL  4000K;;L0112P;;66.346,0000;LISTA 1;14/12/2023;MARKAS
27905;APLIQUE 1XGU10 BASE 11CM DIAM.;;U1011;;22.193,0000;LISTA 1;12/1/2024;MARKAS
27906;APLIQUE/PLAFON 2XGU10;;U1012;;44.388,0000;LISTA 1;12/1/2024;MARKAS
27907;APLIQUE TULIPA CALADA 1XGU10;;U1001 ;;26.218,0000;LISTA 1;12/1/2024;MARKAS
27908;PLAFON 4 LUCES BARRAL 70CM;NEGRO;U1034;;68.964,0000;LISTA 1;12/1/2024;MARKAS
28494;APLIQUE TULIPA CALADA 1XGU10 ;;U1111;;27.314,0000;LISTA 1;12/1/2024;MARKAS
28495;APLIQUE TULIPA CALADA 2XGU10 ;;U1112;;54.360,0000;LISTA 1;12/1/2024;MARKAS
28540;PLAFON LED 50W 44X44X6CM ;;L5750C;;82.119,0000;LISTA 1;14/12/2023;MARKAS
28541;PLAFON LED 32W 34X34X6CM;;L5732C;;65.866,0000;LISTA 1;14/12/2023;MARKAS
28542;APLIQUE PLAFON 2XGU10;;U1032;;35.885,0000;LISTA 1;12/1/2024;MARKAS
28543;APLIQUE LED 18W LUZ CALIDA NGO;;L0218N;;72.335,0000;LISTA 1;14/12/2023;MARKAS
28544;APLIQUE LED 18W LUZ CALIDA BCO;;L0218B;;72.335,0000;LISTA 1;14/12/2023;MARKAS
28545;COLGANTE E/27 NGO  ;;PL80NA;;11.337,0000;LISTA 1;14/12/2023;MARKAS
28546;COLGANTE E/27 NGO CABLE TEXTIL;;PL80NB;;11.337,0000;LISTA 1;14/12/2023;MARKAS
28547;COLGANTE E/27 NGO  ;;PL80NR;;11.337,0000;LISTA 1;14/12/2023;MARKAS
28548;COLGANTE E/27 NGO  CABLE;;PL80NV;;11.337,0000;LISTA 1;14/12/2023;MARKAS
28549;COLGANTE VINTAGE COBRE CABLE ;;M62-1BU;;19.950,0000;LISTA 1;12/1/2024;MARKAS
28550;COLGANTE VINTAGE PLATIL CABLE ;;M62-1BC;;19.950,0000;LISTA 1;12/1/2024;MARKAS
28657;COLGANTE 1XE27 BCO MATE ;;M97-1BB;;12.445,0000;LISTA 1;25/4/2023;MARKAS
28658;COLGANTE 1XE27 NGO MATE ;;M97-1BN;;44.512,0000;LISTA 1;12/1/2024;MARKAS
28659;COLGANTE 1XE27 CAMPANA BCO  ;;M91-1BB;;23.296,0000;LISTA 1;25/4/2023;MARKAS
29411;APLIQUE TULIPA CALADA 2XGU10 ;;U1002;;50.442,0000;LISTA 1;12/1/2024;MARKAS
29412;APLIQUE TULIPA CALADA 3XGU10 ;;U1003;;70.042,0000;LISTA 1;12/1/2024;MARKAS
